scenario,mode,N,b,c,w,mu,k,runs,birth_baseline,rescue_probability,rescue_se,censored_fraction,allc_at_rescue,allc_at_rescue_se,allc_g10,allc_g10_se,allc_g20,allc_g20_se,allc_g30,allc_g30_se,allc_g40,allc_g40_se,allc_g50,allc_g50_se,allc_g60,allc_g60_se,allc_g70,allc_g70_se,allc_g80,allc_g80_se,allc_g90,allc_g90_se,allc_g100,allc_g100_se
robustness,responsive,100,5,1,0.5,1,0,300,3,0.9966666667,0.00332777314,0,0.9515050167,0.00899036839,0.9632441472,0.008051757039,0.9680936455,0.007888738733,0.9746822742,0.007487162752,0.9780936455,0.007169199758,0.9797324415,0.00713323329,0.9815050167,0.007009312774,0.9820735786,0.006963442621,0.984180602,0.006772710896,0.9853511706,0.00668713079,0.9853177258,0.006773183626
robustness,responsive,100,7,1,0.5,1,0,300,3,0.9966666667,0.00332777314,0,0.9735117057,0.004844571597,0.985819398,0.003228752348,0.9895317726,0.002840540074,0.9942809365,0.001851724538,0.9964214047,0.001474308816,0.9975919732,0.001518540888,0.9985618729,0.001110500534,0.9982608696,0.001231337086,0.9991638796,0.0007719098868,0.9995317726,0.0004682274247,0.9997658863,0.0002341137124
robustness,responsive,100,3,1,1,1,0,300,3,0.9933333333,0.004698305447,0,0.874966443,0.01641861705,0.8960067114,0.01529910585,0.9093624161,0.01503533409,0.9197651007,0.01479920957,0.9243959732,0.01466470876,0.9280201342,0.0145504622,0.9303020134,0.01452696951,0.931409396,0.01453860624,0.9323154362,0.01451593244,0.9325503356,0.01451786242,0.932885906,0.01451920734
robustness,responsive,100,5,1,1,1,0,300,3,1,0,0,0.9208333333,0.01141967813,0.9431333333,0.01009114244,0.9525333333,0.009563537841,0.9668,0.008687391394,0.9704333333,0.0084796587,0.9735333333,0.008296252842,0.9751333333,0.008309572368,0.9755666667,0.008372197224,0.9791333333,0.008111523841,0.9797,0.008099487989,0.98,0.008096409048
robustness,responsive,100,7,1,1,1,0,300,3,0.9966666667,0.00332777314,0,0.9579264214,0.007364797743,0.9749832776,0.005845184291,0.9844481605,0.005253109555,0.9869899666,0.005112909967,0.9917725753,0.004776855559,0.9913377926,0.004900144138,0.9926086957,0.004761565013,0.9933110368,0.004721868652,0.9933110368,0.004721868652,0.9933110368,0.004721868652,0.9933110368,0.004721868652
robustness,responsive,200,3,1,0.25,1,0,300,3,1,0,0,0.9440333333,0.009774160909,0.9503666667,0.00922734634,0.9529,0.0092540491,0.9575,0.008834994901,0.9605166667,0.008599146283,0.9678,0.007958783177,0.9699333333,0.007892320659,0.9731333333,0.007671273397,0.9748333333,0.007605586507,0.97615,0.007454528264,0.9777,0.0075485888
robustness,responsive,200,5,1,0.25,1,0,300,3,1,0,0,0.95135,0.008349512666,0.9590166667,0.007325742182,0.9678,0.006390836179,0.9767166667,0.005300860153,0.9800833333,0.004946393703,0.9838,0.004613812813,0.9864,0.004204183827,0.9867166667,0.004259936141,0.9898,0.003983645496,0.9924833333,0.003712606078,0.9911,0.004001653783
robustness,responsive,200,7,1,0.25,1,0,300,3,1,0,0,0.97045,0.005065088335,0.9801666667,0.003911994058,0.9860333333,0.003060755415,0.98905,0.002770191406,0.99395,0.001829536709,0.9942333333,0.001918848789,0.9939,0.002298482365,0.99605,0.001688687028,0.9971333333,0.001284651989,0.9975333333,0.001322663551,0.9987333333,0.0007308969358
robustness,responsive,200,3,1,0.5,1,0,300,3,1,0,0,0.9251833333,0.01220172097,0.93365,0.01145758416,0.9414,0.01078964882,0.9495833333,0.01016534044,0.9541333333,0.01002309188,0.9567333333,0.009871526267,0.9576166667,0.01005723361,0.9616,0.009931808746,0.9630333333,0.009757562694,0.9655666667,0.009571507366,0.9683,0.009452623756
robustness,responsive,200,5,1,0.5,1,0,300,3,1,0,0,0.9494,0.007309675023,0.9649666667,0.005578465989,0.97755,0.003868770211,0.9819833333,0.003650254518,0.9852666667,0.003250381449,0.9861833333,0.003247853106,0.99075,0.002378382412,0.9942166667,0.001759797915,0.997,0.001090395896,0.9965333333,0.001552839908,0.9975166667,0.001214575714
robustness,responsive,200,7,1,0.5,1,0,300,3,1,0,0,0.9791333333,0.003668882476,0.9835833333,0.003352186788,0.9867666667,0.002922662892,0.9886833333,0.002822617121,0.9924666667,0.002060470086,0.9949666667,0.001542954884,0.9964333333,0.00134485131,0.99765,0.001034350113,0.99855,0.0007439405911,0.9992,0.0005497338973,0.99925,0.0005807795668
robustness,responsive,200,3,1,1,1,0,300,3,1,0,0,0.9140666667,0.01254083127,0.9346,0.01074610816,0.9484,0.00939207427,0.9557833333,0.008900660051,0.9609166667,0.008748513437,0.9644333333,0.00867915895,0.9708333333,0.008326022434,0.9707833333,0.008388019617,0.97145,0.008403424907,0.9737833333,0.008260415146,0.97415,0.008240401497
robustness,responsive,200,5,1,1,1,0,300,3,1,0,0,0.9498,0.007355852219,0.9700166667,0.00516087342,0.9773166667,0.004634482405,0.9863166667,0.003980379579,0.9897166667,0.003872121028,0.9909,0.003835681507,0.9924666667,0.003673968609,0.9931833333,0.003603672283,0.9941666667,0.003486702989,0.9943666667,0.003468812581,0.9941,0.003635890399
